Stake_Percent,Simulation_Run,Result,Finalization_Time
50,1,FAILURE,-1
50,2,FAILURE,-1
50,3,FAILURE,-1
50,4,FAILURE,-1
50,5,FAILURE,-1
50,6,FAILURE,-1
50,7,FAILURE,-1
50,8,FAILURE,-1
50,9,FAILURE,-1
50,10,FAILURE,-1
50,11,FAILURE,-1
50,12,FAILURE,-1
50,13,FAILURE,-1
50,14,FAILURE,-1
50,15,FAILURE,-1
50,16,FAILURE,-1
50,17,FAILURE,-1
50,18,FAILURE,-1
50,19,FAILURE,-1
50,20,FAILURE,-1
50,21,FAILURE,-1
50,22,FAILURE,-1
50,23,FAILURE,-1
50,24,FAILURE,-1
50,25,FAILURE,-1
50,26,FAILURE,-1
50,27,FAILURE,-1
50,28,FAILURE,-1
50,29,FAILURE,-1
50,30,FAILURE,-1
50,31,FAILURE,-1
50,32,FAILURE,-1
50,33,FAILURE,-1
50,34,FAILURE,-1
50,35,FAILURE,-1
50,36,FAILURE,-1
50,37,FAILURE,-1
50,38,FAILURE,-1
50,39,FAILURE,-1
50,40,FAILURE,-1
50,41,FAILURE,-1
50,42,FAILURE,-1
50,43,FAILURE,-1
50,44,FAILURE,-1
50,45,FAILURE,-1
50,46,FAILURE,-1
50,47,FAILURE,-1
50,48,FAILURE,-1
50,49,FAILURE,-1
50,50,FAILURE,-1
50,51,FAILURE,-1
50,52,FAILURE,-1
50,53,FAILURE,-1
50,54,FAILURE,-1
50,55,FAILURE,-1
50,56,FAILURE,-1
50,57,FAILURE,-1
50,58,FAILURE,-1
50,59,FAILURE,-1
50,60,FAILURE,-1
50,61,FAILURE,-1
50,62,FAILURE,-1
50,63,FAILURE,-1
50,64,FAILURE,-1
50,65,FAILURE,-1
50,66,FAILURE,-1
50,67,FAILURE,-1
50,68,FAILURE,-1
50,69,FAILURE,-1
50,70,FAILURE,-1
50,71,FAILURE,-1
50,72,FAILURE,-1
50,73,FAILURE,-1
50,74,FAILURE,-1
50,75,FAILURE,-1
50,76,FAILURE,-1
50,77,FAILURE,-1
50,78,FAILURE,-1
50,79,FAILURE,-1
50,80,FAILURE,-1
50,81,FAILURE,-1
50,82,FAILURE,-1
50,83,FAILURE,-1
50,84,FAILURE,-1
50,85,FAILURE,-1
50,86,FAILURE,-1
50,87,FAILURE,-1
50,88,FAILURE,-1
50,89,FAILURE,-1
50,90,FAILURE,-1
50,91,FAILURE,-1
50,92,FAILURE,-1
50,93,FAILURE,-1
50,94,FAILURE,-1
50,95,FAILURE,-1
50,96,FAILURE,-1
50,97,FAILURE,-1
50,98,FAILURE,-1
50,99,FAILURE,-1
50,100,FAILURE,-1
60,1,SUCCESS,3
3
60,2,SUCCESS,3
3
60,3,SUCCESS,3
3
60,4,SUCCESS,3
3
60,5,SUCCESS,3
3
60,6,SUCCESS,3
3
60,7,SUCCESS,3
3
60,8,SUCCESS,3
3
60,9,SUCCESS,3
3
60,10,SUCCESS,3
3
60,11,SUCCESS,3
3
60,12,SUCCESS,3
3
60,13,SUCCESS,3
3
60,14,SUCCESS,3
3
60,15,SUCCESS,3
3
60,16,SUCCESS,3
3
60,17,SUCCESS,3
3
60,18,SUCCESS,3
3
60,19,SUCCESS,3
3
60,20,SUCCESS,3
3
60,21,SUCCESS,3
3
60,22,SUCCESS,3
3
60,23,SUCCESS,3
3
60,24,SUCCESS,3
3
60,25,SUCCESS,3
3
60,26,SUCCESS,3
3
60,27,SUCCESS,3
3
60,28,SUCCESS,3
3
60,29,SUCCESS,3
3
60,30,SUCCESS,3
3
60,31,SUCCESS,3
3
60,32,SUCCESS,3
3
60,33,SUCCESS,3
3
60,34,SUCCESS,3
3
60,35,SUCCESS,3
3
60,36,SUCCESS,3
3
60,37,SUCCESS,3
3
60,38,SUCCESS,3
3
60,39,SUCCESS,3
3
60,40,SUCCESS,3
3
60,41,SUCCESS,3
3
60,42,SUCCESS,3
3
60,43,SUCCESS,3
3
60,44,SUCCESS,3
3
60,45,SUCCESS,3
3
60,46,SUCCESS,3
3
60,47,SUCCESS,3
3
60,48,SUCCESS,3
3
60,49,SUCCESS,3
3
60,50,SUCCESS,3
3
60,51,SUCCESS,3
3
60,52,SUCCESS,3
3
60,53,SUCCESS,3
3
60,54,SUCCESS,3
3
60,55,SUCCESS,3
3
60,56,SUCCESS,3
3
60,57,SUCCESS,3
3
60,58,SUCCESS,3
3
60,59,SUCCESS,3
3
60,60,SUCCESS,3
3
60,61,SUCCESS,3
3
60,62,SUCCESS,3
3
60,63,SUCCESS,3
3
60,64,SUCCESS,3
3
60,65,SUCCESS,3
3
60,66,SUCCESS,3
3
60,67,SUCCESS,3
3
60,68,SUCCESS,3
3
60,69,SUCCESS,3
3
60,70,SUCCESS,3
3
60,71,SUCCESS,3
3
60,72,SUCCESS,3
3
60,73,SUCCESS,3
3
60,74,SUCCESS,3
3
60,75,SUCCESS,3
3
60,76,SUCCESS,3
3
60,77,SUCCESS,3
3
60,78,SUCCESS,3
3
60,79,SUCCESS,3
3
60,80,SUCCESS,3
3
60,81,SUCCESS,3
3
60,82,SUCCESS,3
3
60,83,SUCCESS,3
3
60,84,SUCCESS,3
3
60,85,SUCCESS,3
3
60,86,SUCCESS,3
3
60,87,SUCCESS,3
3
60,88,SUCCESS,3
3
60,89,SUCCESS,3
3
60,90,SUCCESS,3
3
60,91,SUCCESS,3
3
60,92,SUCCESS,3
3
60,93,SUCCESS,3
3
60,94,SUCCESS,3
3
60,95,SUCCESS,3
3
60,96,SUCCESS,3
3
60,97,SUCCESS,3
3
60,98,SUCCESS,3
3
60,99,SUCCESS,3
3
60,100,SUCCESS,3
3
70,1,SUCCESS,3
3
70,2,SUCCESS,3
3
70,3,SUCCESS,3
3
70,4,SUCCESS,3
3
70,5,SUCCESS,3
3
70,6,SUCCESS,3
3
70,7,SUCCESS,3
3
70,8,SUCCESS,3
3
70,9,SUCCESS,3
3
70,10,SUCCESS,3
3
70,11,SUCCESS,3
3
70,12,SUCCESS,3
3
70,13,SUCCESS,3
3
70,14,SUCCESS,3
3
70,15,SUCCESS,3
3
70,16,SUCCESS,3
3
70,17,SUCCESS,3
3
70,18,SUCCESS,3
3
70,19,SUCCESS,3
3
70,20,SUCCESS,3
3
70,21,SUCCESS,3
3
70,22,SUCCESS,3
3
70,23,SUCCESS,3
3
70,24,SUCCESS,3
3
70,25,SUCCESS,3
3
70,26,SUCCESS,3
3
70,27,SUCCESS,3
3
70,28,SUCCESS,3
3
70,29,SUCCESS,3
3
70,30,SUCCESS,3
3
70,31,SUCCESS,3
3
70,32,SUCCESS,3
3
70,33,SUCCESS,3
3
70,34,SUCCESS,3
3
70,35,SUCCESS,3
3
70,36,SUCCESS,3
3
70,37,SUCCESS,3
3
70,38,SUCCESS,3
3
70,39,SUCCESS,3
3
70,40,SUCCESS,3
3
70,41,SUCCESS,3
3
70,42,SUCCESS,3
3
70,43,SUCCESS,3
3
70,44,SUCCESS,3
3
70,45,SUCCESS,3
3
70,46,SUCCESS,3
3
70,47,SUCCESS,3
3
70,48,SUCCESS,3
3
70,49,SUCCESS,3
3
70,50,SUCCESS,3
3
70,51,SUCCESS,3
3
70,52,SUCCESS,3
3
70,53,SUCCESS,3
3
70,54,SUCCESS,3
3
70,55,SUCCESS,3
3
70,56,SUCCESS,3
3
70,57,SUCCESS,3
3
70,58,SUCCESS,3
3
70,59,SUCCESS,3
3
70,60,SUCCESS,3
3
70,61,SUCCESS,3
3
70,62,SUCCESS,3
3
70,63,SUCCESS,3
3
70,64,SUCCESS,3
3
70,65,SUCCESS,3
3
70,66,SUCCESS,3
3
70,67,SUCCESS,3
3
70,68,SUCCESS,3
3
70,69,SUCCESS,3
3
70,70,SUCCESS,3
3
70,71,SUCCESS,3
3
70,72,SUCCESS,3
3
70,73,SUCCESS,3
3
70,74,SUCCESS,3
3
70,75,SUCCESS,3
3
70,76,SUCCESS,3
3
70,77,SUCCESS,3
3
70,78,SUCCESS,3
3
70,79,SUCCESS,3
3
70,80,SUCCESS,3
3
70,81,SUCCESS,3
3
70,82,SUCCESS,3
3
70,83,SUCCESS,3
3
70,84,SUCCESS,3
3
70,85,SUCCESS,3
3
70,86,SUCCESS,3
3
70,87,SUCCESS,3
3
70,88,SUCCESS,3
3
70,89,SUCCESS,3
3
70,90,SUCCESS,3
3
70,91,SUCCESS,3
3
70,92,SUCCESS,3
3
70,93,SUCCESS,3
3
70,94,SUCCESS,3
3
70,95,SUCCESS,3
3
70,96,SUCCESS,3
3
70,97,SUCCESS,3
3
70,98,SUCCESS,3
3
70,99,SUCCESS,3
3
70,100,SUCCESS,3
3
80,1,SUCCESS,2
2
80,2,SUCCESS,2
2
80,3,SUCCESS,2
2
80,4,SUCCESS,2
2
80,5,SUCCESS,2
2
80,6,SUCCESS,2
2
80,7,SUCCESS,2
2
80,8,SUCCESS,2
2
80,9,SUCCESS,2
2
80,10,SUCCESS,2
2
80,11,SUCCESS,2
2
80,12,SUCCESS,2
2
80,13,SUCCESS,2
2
80,14,SUCCESS,2
2
80,15,SUCCESS,2
2
80,16,SUCCESS,2
2
80,17,SUCCESS,2
2
80,18,SUCCESS,2
2
80,19,SUCCESS,2
2
80,20,SUCCESS,2
2
80,21,SUCCESS,2
2
80,22,SUCCESS,2
2
80,23,SUCCESS,2
2
80,24,SUCCESS,2
2
80,25,SUCCESS,2
2
80,26,SUCCESS,2
2
80,27,SUCCESS,2
2
80,28,SUCCESS,2
2
80,29,SUCCESS,2
2
80,30,SUCCESS,2
2
80,31,SUCCESS,2
2
80,32,SUCCESS,2
2
80,33,SUCCESS,2
2
80,34,SUCCESS,2
2
80,35,SUCCESS,2
2
80,36,SUCCESS,2
2
80,37,SUCCESS,2
2
80,38,SUCCESS,2
2
80,39,SUCCESS,2
2
80,40,SUCCESS,2
2
80,41,SUCCESS,2
2
80,42,SUCCESS,2
2
80,43,SUCCESS,2
2
80,44,SUCCESS,2
2
80,45,SUCCESS,2
2
80,46,SUCCESS,2
2
80,47,SUCCESS,2
2
80,48,SUCCESS,2
2
80,49,SUCCESS,2
2
80,50,SUCCESS,2
2
80,51,SUCCESS,2
2
80,52,SUCCESS,2
2
80,53,SUCCESS,2
2
80,54,SUCCESS,2
2
80,55,SUCCESS,2
2
80,56,SUCCESS,2
2
80,57,SUCCESS,2
2
80,58,SUCCESS,2
2
80,59,SUCCESS,2
2
80,60,SUCCESS,2
2
80,61,SUCCESS,2
2
80,62,SUCCESS,2
2
80,63,SUCCESS,2
2
80,64,SUCCESS,2
2
80,65,SUCCESS,2
2
80,66,SUCCESS,2
2
80,67,SUCCESS,2
2
80,68,SUCCESS,2
2
80,69,SUCCESS,2
2
80,70,SUCCESS,2
2
80,71,SUCCESS,2
2
80,72,SUCCESS,2
2
80,73,SUCCESS,2
2
80,74,SUCCESS,2
2
80,75,SUCCESS,2
2
80,76,SUCCESS,2
2
80,77,SUCCESS,2
2
80,78,SUCCESS,2
2
80,79,SUCCESS,2
2
80,80,SUCCESS,2
2
80,81,SUCCESS,2
2
80,82,SUCCESS,2
2
80,83,SUCCESS,2
2
80,84,SUCCESS,2
2
80,85,SUCCESS,2
2
80,86,SUCCESS,2
2
80,87,SUCCESS,2
2
80,88,SUCCESS,2
2
80,89,SUCCESS,2
2
80,90,SUCCESS,2
2
80,91,SUCCESS,2
2
80,92,SUCCESS,2
2
80,93,SUCCESS,2
2
80,94,SUCCESS,2
2
80,95,SUCCESS,2
2
80,96,SUCCESS,2
2
80,97,SUCCESS,2
2
80,98,SUCCESS,2
2
80,99,SUCCESS,2
2
80,100,SUCCESS,2
2
90,1,SUCCESS,2
2
90,2,SUCCESS,2
2
90,3,SUCCESS,2
2
90,4,SUCCESS,2
2
90,5,SUCCESS,2
2
90,6,SUCCESS,2
2
90,7,SUCCESS,2
2
90,8,SUCCESS,2
2
90,9,SUCCESS,2
2
90,10,SUCCESS,2
2
90,11,SUCCESS,2
2
90,12,SUCCESS,2
2
90,13,SUCCESS,2
2
90,14,SUCCESS,2
2
90,15,SUCCESS,2
2
90,16,SUCCESS,2
2
90,17,SUCCESS,2
2
90,18,SUCCESS,2
2
90,19,SUCCESS,2
2
90,20,SUCCESS,2
2
90,21,SUCCESS,2
2
90,22,SUCCESS,2
2
90,23,SUCCESS,2
2
90,24,SUCCESS,2
2
90,25,SUCCESS,2
2
90,26,SUCCESS,2
2
90,27,SUCCESS,2
2
90,28,SUCCESS,2
2
90,29,SUCCESS,2
2
90,30,SUCCESS,2
2
90,31,SUCCESS,2
2
90,32,SUCCESS,2
2
90,33,SUCCESS,2
2
90,34,SUCCESS,2
2
90,35,SUCCESS,2
2
90,36,SUCCESS,2
2
90,37,SUCCESS,2
2
90,38,SUCCESS,2
2
90,39,SUCCESS,2
2
90,40,SUCCESS,2
2
90,41,SUCCESS,2
2
90,42,SUCCESS,2
2
90,43,SUCCESS,2
2
90,44,SUCCESS,2
2
90,45,SUCCESS,2
2
90,46,SUCCESS,2
2
90,47,SUCCESS,2
2
90,48,SUCCESS,2
2
90,49,SUCCESS,2
2
90,50,SUCCESS,2
2
90,51,SUCCESS,2
2
90,52,SUCCESS,2
2
90,53,SUCCESS,2
2
90,54,SUCCESS,2
2
90,55,SUCCESS,2
2
90,56,SUCCESS,2
2
90,57,SUCCESS,2
2
90,58,SUCCESS,2
2
90,59,SUCCESS,2
2
90,60,SUCCESS,2
2
90,61,SUCCESS,2
2
90,62,SUCCESS,2
2
90,63,SUCCESS,2
2
90,64,SUCCESS,2
2
90,65,SUCCESS,2
2
90,66,SUCCESS,2
2
90,67,SUCCESS,2
2
90,68,SUCCESS,2
2
90,69,SUCCESS,2
2
90,70,SUCCESS,2
2
90,71,SUCCESS,2
2
90,72,SUCCESS,2
2
90,73,SUCCESS,2
2
90,74,SUCCESS,2
2
90,75,SUCCESS,2
2
90,76,SUCCESS,2
2
90,77,SUCCESS,2
2
90,78,SUCCESS,2
2
90,79,SUCCESS,2
2
90,80,SUCCESS,2
2
90,81,SUCCESS,2
2
90,82,SUCCESS,2
2
90,83,SUCCESS,2
2
90,84,SUCCESS,2
2
90,85,SUCCESS,2
2
90,86,SUCCESS,2
2
90,87,SUCCESS,2
2
90,88,SUCCESS,2
2
90,89,SUCCESS,2
2
90,90,SUCCESS,2
2
90,91,SUCCESS,2
2
90,92,SUCCESS,2
2
90,93,SUCCESS,2
2
90,94,SUCCESS,2
2
90,95,SUCCESS,2
2
90,96,SUCCESS,2
2
90,97,SUCCESS,2
2
90,98,SUCCESS,2
2
90,99,SUCCESS,2
2
90,100,SUCCESS,2
2
