Test_Type,Byzantine_Stake,Test_Run,Result
byzantine_safety,10,1,SUCCESS
byzantine_safety,10,2,SUCCESS
byzantine_safety,10,3,SUCCESS
byzantine_safety,10,4,SUCCESS
byzantine_safety,10,5,SUCCESS
byzantine_safety,10,6,SUCCESS
byzantine_safety,10,7,SUCCESS
byzantine_safety,10,8,SUCCESS
byzantine_safety,10,9,SUCCESS
byzantine_safety,10,10,SUCCESS
byzantine_safety,10,11,SUCCESS
byzantine_safety,10,12,SUCCESS
byzantine_safety,10,13,SUCCESS
byzantine_safety,10,14,SUCCESS
byzantine_safety,10,15,SUCCESS
byzantine_safety,10,16,SUCCESS
byzantine_safety,10,17,SUCCESS
byzantine_safety,10,18,SUCCESS
byzantine_safety,10,19,SUCCESS
byzantine_safety,10,20,SUCCESS
byzantine_safety,10,21,SUCCESS
byzantine_safety,10,22,SUCCESS
byzantine_safety,10,23,SUCCESS
byzantine_safety,10,24,SUCCESS
byzantine_safety,10,25,SUCCESS
byzantine_safety,10,26,SUCCESS
byzantine_safety,10,27,SUCCESS
byzantine_safety,10,28,SUCCESS
byzantine_safety,10,29,SUCCESS
byzantine_safety,10,30,SUCCESS
byzantine_safety,10,31,SUCCESS
byzantine_safety,10,32,SUCCESS
byzantine_safety,10,33,SUCCESS
byzantine_safety,10,34,SUCCESS
byzantine_safety,10,35,SUCCESS
byzantine_safety,10,36,SUCCESS
byzantine_safety,10,37,SUCCESS
byzantine_safety,10,38,SUCCESS
byzantine_safety,10,39,SUCCESS
byzantine_safety,10,40,SUCCESS
byzantine_safety,10,41,SUCCESS
byzantine_safety,10,42,SUCCESS
byzantine_safety,10,43,SUCCESS
byzantine_safety,10,44,SUCCESS
byzantine_safety,10,45,SUCCESS
byzantine_safety,10,46,SUCCESS
byzantine_safety,10,47,SUCCESS
byzantine_safety,10,48,SUCCESS
byzantine_safety,10,49,SUCCESS
byzantine_safety,10,50,SUCCESS
byzantine_safety,15,1,SUCCESS
byzantine_safety,15,2,SUCCESS
byzantine_safety,15,3,SUCCESS
byzantine_safety,15,4,SUCCESS
byzantine_safety,15,5,SUCCESS
byzantine_safety,15,6,SUCCESS
byzantine_safety,15,7,SUCCESS
byzantine_safety,15,8,SUCCESS
byzantine_safety,15,9,SUCCESS
byzantine_safety,15,10,SUCCESS
byzantine_safety,15,11,SUCCESS
byzantine_safety,15,12,SUCCESS
byzantine_safety,15,13,SUCCESS
byzantine_safety,15,14,SUCCESS
byzantine_safety,15,15,SUCCESS
byzantine_safety,15,16,SUCCESS
byzantine_safety,15,17,SUCCESS
byzantine_safety,15,18,SUCCESS
byzantine_safety,15,19,SUCCESS
byzantine_safety,15,20,SUCCESS
byzantine_safety,15,21,SUCCESS
byzantine_safety,15,22,SUCCESS
byzantine_safety,15,23,SUCCESS
byzantine_safety,15,24,SUCCESS
byzantine_safety,15,25,SUCCESS
byzantine_safety,15,26,SUCCESS
byzantine_safety,15,27,SUCCESS
byzantine_safety,15,28,SUCCESS
byzantine_safety,15,29,SUCCESS
byzantine_safety,15,30,SUCCESS
byzantine_safety,15,31,SUCCESS
byzantine_safety,15,32,SUCCESS
byzantine_safety,15,33,SUCCESS
byzantine_safety,15,34,SUCCESS
byzantine_safety,15,35,SUCCESS
byzantine_safety,15,36,SUCCESS
byzantine_safety,15,37,SUCCESS
byzantine_safety,15,38,SUCCESS
byzantine_safety,15,39,SUCCESS
byzantine_safety,15,40,SUCCESS
byzantine_safety,15,41,SUCCESS
byzantine_safety,15,42,SUCCESS
byzantine_safety,15,43,SUCCESS
byzantine_safety,15,44,SUCCESS
byzantine_safety,15,45,SUCCESS
byzantine_safety,15,46,SUCCESS
byzantine_safety,15,47,SUCCESS
byzantine_safety,15,48,SUCCESS
byzantine_safety,15,49,SUCCESS
byzantine_safety,15,50,SUCCESS
byzantine_safety,20,1,SUCCESS
byzantine_safety,20,2,SUCCESS
byzantine_safety,20,3,SUCCESS
byzantine_safety,20,4,SUCCESS
byzantine_safety,20,5,SUCCESS
byzantine_safety,20,6,SUCCESS
byzantine_safety,20,7,SUCCESS
byzantine_safety,20,8,SUCCESS
byzantine_safety,20,9,SUCCESS
byzantine_safety,20,10,SUCCESS
byzantine_safety,20,11,SUCCESS
byzantine_safety,20,12,SUCCESS
byzantine_safety,20,13,SUCCESS
byzantine_safety,20,14,SUCCESS
byzantine_safety,20,15,SUCCESS
byzantine_safety,20,16,SUCCESS
byzantine_safety,20,17,SUCCESS
byzantine_safety,20,18,SUCCESS
byzantine_safety,20,19,SUCCESS
byzantine_safety,20,20,SUCCESS
byzantine_safety,20,21,SUCCESS
byzantine_safety,20,22,SUCCESS
byzantine_safety,20,23,SUCCESS
byzantine_safety,20,24,SUCCESS
byzantine_safety,20,25,SUCCESS
byzantine_safety,20,26,SUCCESS
byzantine_safety,20,27,SUCCESS
byzantine_safety,20,28,SUCCESS
byzantine_safety,20,29,SUCCESS
byzantine_safety,20,30,SUCCESS
byzantine_safety,20,31,SUCCESS
byzantine_safety,20,32,SUCCESS
byzantine_safety,20,33,SUCCESS
byzantine_safety,20,34,SUCCESS
byzantine_safety,20,35,SUCCESS
byzantine_safety,20,36,SUCCESS
byzantine_safety,20,37,SUCCESS
byzantine_safety,20,38,SUCCESS
byzantine_safety,20,39,SUCCESS
byzantine_safety,20,40,SUCCESS
byzantine_safety,20,41,SUCCESS
byzantine_safety,20,42,SUCCESS
byzantine_safety,20,43,SUCCESS
byzantine_safety,20,44,SUCCESS
byzantine_safety,20,45,SUCCESS
byzantine_safety,20,46,SUCCESS
byzantine_safety,20,47,SUCCESS
byzantine_safety,20,48,SUCCESS
byzantine_safety,20,49,SUCCESS
byzantine_safety,20,50,SUCCESS
byzantine_safety,25,1,SUCCESS
byzantine_safety,25,2,SUCCESS
byzantine_safety,25,3,SUCCESS
byzantine_safety,25,4,SUCCESS
byzantine_safety,25,5,SUCCESS
byzantine_safety,25,6,SUCCESS
byzantine_safety,25,7,SUCCESS
byzantine_safety,25,8,SUCCESS
byzantine_safety,25,9,SUCCESS
byzantine_safety,25,10,SUCCESS
byzantine_safety,25,11,SUCCESS
byzantine_safety,25,12,SUCCESS
byzantine_safety,25,13,SUCCESS
byzantine_safety,25,14,SUCCESS
byzantine_safety,25,15,SUCCESS
byzantine_safety,25,16,SUCCESS
byzantine_safety,25,17,SUCCESS
byzantine_safety,25,18,SUCCESS
byzantine_safety,25,19,SUCCESS
byzantine_safety,25,20,SUCCESS
byzantine_safety,25,21,SUCCESS
byzantine_safety,25,22,SUCCESS
byzantine_safety,25,23,SUCCESS
byzantine_safety,25,24,SUCCESS
byzantine_safety,25,25,SUCCESS
byzantine_safety,25,26,SUCCESS
byzantine_safety,25,27,SUCCESS
byzantine_safety,25,28,SUCCESS
byzantine_safety,25,29,SUCCESS
byzantine_safety,25,30,SUCCESS
byzantine_safety,25,31,SUCCESS
byzantine_safety,25,32,SUCCESS
byzantine_safety,25,33,SUCCESS
byzantine_safety,25,34,SUCCESS
byzantine_safety,25,35,SUCCESS
byzantine_safety,25,36,SUCCESS
byzantine_safety,25,37,SUCCESS
byzantine_safety,25,38,SUCCESS
byzantine_safety,25,39,SUCCESS
byzantine_safety,25,40,SUCCESS
byzantine_safety,25,41,SUCCESS
byzantine_safety,25,42,SUCCESS
byzantine_safety,25,43,SUCCESS
byzantine_safety,25,44,SUCCESS
byzantine_safety,25,45,SUCCESS
byzantine_safety,25,46,SUCCESS
byzantine_safety,25,47,SUCCESS
byzantine_safety,25,48,SUCCESS
byzantine_safety,25,49,SUCCESS
byzantine_safety,25,50,SUCCESS
offline_liveness,10,1,SUCCESS
offline_liveness,10,2,SUCCESS
offline_liveness,10,3,SUCCESS
offline_liveness,10,4,SUCCESS
offline_liveness,10,5,SUCCESS
offline_liveness,10,6,SUCCESS
offline_liveness,10,7,SUCCESS
offline_liveness,10,8,SUCCESS
offline_liveness,10,9,SUCCESS
offline_liveness,10,10,SUCCESS
offline_liveness,10,11,SUCCESS
offline_liveness,10,12,SUCCESS
offline_liveness,10,13,SUCCESS
offline_liveness,10,14,SUCCESS
offline_liveness,10,15,SUCCESS
offline_liveness,10,16,SUCCESS
offline_liveness,10,17,SUCCESS
offline_liveness,10,18,SUCCESS
offline_liveness,10,19,SUCCESS
offline_liveness,10,20,SUCCESS
offline_liveness,10,21,SUCCESS
offline_liveness,10,22,SUCCESS
offline_liveness,10,23,SUCCESS
offline_liveness,10,24,SUCCESS
offline_liveness,10,25,SUCCESS
offline_liveness,10,26,SUCCESS
offline_liveness,10,27,SUCCESS
offline_liveness,10,28,SUCCESS
offline_liveness,10,29,SUCCESS
offline_liveness,10,30,SUCCESS
offline_liveness,10,31,SUCCESS
offline_liveness,10,32,SUCCESS
offline_liveness,10,33,SUCCESS
offline_liveness,10,34,SUCCESS
offline_liveness,10,35,SUCCESS
offline_liveness,10,36,SUCCESS
offline_liveness,10,37,SUCCESS
offline_liveness,10,38,SUCCESS
offline_liveness,10,39,SUCCESS
offline_liveness,10,40,SUCCESS
offline_liveness,10,41,SUCCESS
offline_liveness,10,42,SUCCESS
offline_liveness,10,43,SUCCESS
offline_liveness,10,44,SUCCESS
offline_liveness,10,45,SUCCESS
offline_liveness,10,46,SUCCESS
offline_liveness,10,47,SUCCESS
offline_liveness,10,48,SUCCESS
offline_liveness,10,49,SUCCESS
offline_liveness,10,50,SUCCESS
offline_liveness,15,1,SUCCESS
offline_liveness,15,2,SUCCESS
offline_liveness,15,3,SUCCESS
offline_liveness,15,4,SUCCESS
offline_liveness,15,5,SUCCESS
offline_liveness,15,6,SUCCESS
offline_liveness,15,7,SUCCESS
offline_liveness,15,8,SUCCESS
offline_liveness,15,9,SUCCESS
offline_liveness,15,10,SUCCESS
offline_liveness,15,11,SUCCESS
offline_liveness,15,12,SUCCESS
offline_liveness,15,13,SUCCESS
offline_liveness,15,14,SUCCESS
offline_liveness,15,15,SUCCESS
offline_liveness,15,16,SUCCESS
offline_liveness,15,17,SUCCESS
offline_liveness,15,18,SUCCESS
offline_liveness,15,19,SUCCESS
offline_liveness,15,20,SUCCESS
offline_liveness,15,21,SUCCESS
offline_liveness,15,22,SUCCESS
offline_liveness,15,23,SUCCESS
offline_liveness,15,24,SUCCESS
offline_liveness,15,25,SUCCESS
offline_liveness,15,26,SUCCESS
offline_liveness,15,27,SUCCESS
offline_liveness,15,28,SUCCESS
offline_liveness,15,29,SUCCESS
offline_liveness,15,30,SUCCESS
offline_liveness,15,31,SUCCESS
offline_liveness,15,32,SUCCESS
offline_liveness,15,33,SUCCESS
offline_liveness,15,34,SUCCESS
offline_liveness,15,35,SUCCESS
offline_liveness,15,36,SUCCESS
offline_liveness,15,37,SUCCESS
offline_liveness,15,38,SUCCESS
offline_liveness,15,39,SUCCESS
offline_liveness,15,40,SUCCESS
offline_liveness,15,41,SUCCESS
offline_liveness,15,42,SUCCESS
offline_liveness,15,43,SUCCESS
offline_liveness,15,44,SUCCESS
offline_liveness,15,45,SUCCESS
offline_liveness,15,46,SUCCESS
offline_liveness,15,47,SUCCESS
offline_liveness,15,48,SUCCESS
offline_liveness,15,49,SUCCESS
offline_liveness,15,50,SUCCESS
offline_liveness,20,1,SUCCESS
offline_liveness,20,2,SUCCESS
offline_liveness,20,3,SUCCESS
offline_liveness,20,4,SUCCESS
offline_liveness,20,5,SUCCESS
offline_liveness,20,6,SUCCESS
offline_liveness,20,7,SUCCESS
offline_liveness,20,8,SUCCESS
offline_liveness,20,9,SUCCESS
offline_liveness,20,10,SUCCESS
offline_liveness,20,11,SUCCESS
offline_liveness,20,12,SUCCESS
offline_liveness,20,13,SUCCESS
offline_liveness,20,14,SUCCESS
offline_liveness,20,15,SUCCESS
offline_liveness,20,16,SUCCESS
offline_liveness,20,17,SUCCESS
offline_liveness,20,18,SUCCESS
offline_liveness,20,19,SUCCESS
offline_liveness,20,20,SUCCESS
offline_liveness,20,21,SUCCESS
offline_liveness,20,22,SUCCESS
offline_liveness,20,23,SUCCESS
offline_liveness,20,24,SUCCESS
offline_liveness,20,25,SUCCESS
offline_liveness,20,26,SUCCESS
offline_liveness,20,27,SUCCESS
offline_liveness,20,28,SUCCESS
offline_liveness,20,29,SUCCESS
offline_liveness,20,30,SUCCESS
offline_liveness,20,31,SUCCESS
offline_liveness,20,32,SUCCESS
offline_liveness,20,33,SUCCESS
offline_liveness,20,34,SUCCESS
offline_liveness,20,35,SUCCESS
offline_liveness,20,36,SUCCESS
offline_liveness,20,37,SUCCESS
offline_liveness,20,38,SUCCESS
offline_liveness,20,39,SUCCESS
offline_liveness,20,40,SUCCESS
offline_liveness,20,41,SUCCESS
offline_liveness,20,42,SUCCESS
offline_liveness,20,43,SUCCESS
offline_liveness,20,44,SUCCESS
offline_liveness,20,45,SUCCESS
offline_liveness,20,46,SUCCESS
offline_liveness,20,47,SUCCESS
offline_liveness,20,48,SUCCESS
offline_liveness,20,49,SUCCESS
offline_liveness,20,50,SUCCESS
offline_liveness,25,1,SUCCESS
offline_liveness,25,2,SUCCESS
offline_liveness,25,3,SUCCESS
offline_liveness,25,4,SUCCESS
offline_liveness,25,5,SUCCESS
offline_liveness,25,6,SUCCESS
offline_liveness,25,7,SUCCESS
offline_liveness,25,8,SUCCESS
offline_liveness,25,9,SUCCESS
offline_liveness,25,10,SUCCESS
offline_liveness,25,11,SUCCESS
offline_liveness,25,12,SUCCESS
offline_liveness,25,13,SUCCESS
offline_liveness,25,14,SUCCESS
offline_liveness,25,15,SUCCESS
offline_liveness,25,16,SUCCESS
offline_liveness,25,17,SUCCESS
offline_liveness,25,18,SUCCESS
offline_liveness,25,19,SUCCESS
offline_liveness,25,20,SUCCESS
offline_liveness,25,21,SUCCESS
offline_liveness,25,22,SUCCESS
offline_liveness,25,23,SUCCESS
offline_liveness,25,24,SUCCESS
offline_liveness,25,25,SUCCESS
offline_liveness,25,26,SUCCESS
offline_liveness,25,27,SUCCESS
offline_liveness,25,28,SUCCESS
offline_liveness,25,29,SUCCESS
offline_liveness,25,30,SUCCESS
offline_liveness,25,31,SUCCESS
offline_liveness,25,32,SUCCESS
offline_liveness,25,33,SUCCESS
offline_liveness,25,34,SUCCESS
offline_liveness,25,35,SUCCESS
offline_liveness,25,36,SUCCESS
offline_liveness,25,37,SUCCESS
offline_liveness,25,38,SUCCESS
offline_liveness,25,39,SUCCESS
offline_liveness,25,40,SUCCESS
offline_liveness,25,41,SUCCESS
offline_liveness,25,42,SUCCESS
offline_liveness,25,43,SUCCESS
offline_liveness,25,44,SUCCESS
offline_liveness,25,45,SUCCESS
offline_liveness,25,46,SUCCESS
offline_liveness,25,47,SUCCESS
offline_liveness,25,48,SUCCESS
offline_liveness,25,49,SUCCESS
offline_liveness,25,50,SUCCESS
partition_recovery,50,1,SUCCESS
partition_recovery,50,2,SUCCESS
partition_recovery,50,3,SUCCESS
partition_recovery,50,4,SUCCESS
partition_recovery,50,5,SUCCESS
partition_recovery,50,6,SUCCESS
partition_recovery,50,7,SUCCESS
partition_recovery,50,8,SUCCESS
partition_recovery,50,9,SUCCESS
partition_recovery,50,10,SUCCESS
partition_recovery,50,11,SUCCESS
partition_recovery,50,12,SUCCESS
partition_recovery,50,13,SUCCESS
partition_recovery,50,14,SUCCESS
partition_recovery,50,15,SUCCESS
partition_recovery,50,16,SUCCESS
partition_recovery,50,17,SUCCESS
partition_recovery,50,18,SUCCESS
partition_recovery,50,19,SUCCESS
partition_recovery,50,20,SUCCESS
partition_recovery,50,21,SUCCESS
partition_recovery,50,22,SUCCESS
partition_recovery,50,23,SUCCESS
partition_recovery,50,24,SUCCESS
partition_recovery,50,25,SUCCESS
partition_recovery,50,26,SUCCESS
partition_recovery,50,27,SUCCESS
partition_recovery,50,28,SUCCESS
partition_recovery,50,29,SUCCESS
partition_recovery,50,30,SUCCESS
certificate_uniqueness,20,1,SUCCESS
certificate_uniqueness,20,2,SUCCESS
certificate_uniqueness,20,3,SUCCESS
certificate_uniqueness,20,4,SUCCESS
certificate_uniqueness,20,5,SUCCESS
certificate_uniqueness,20,6,SUCCESS
certificate_uniqueness,20,7,SUCCESS
certificate_uniqueness,20,8,SUCCESS
certificate_uniqueness,20,9,SUCCESS
certificate_uniqueness,20,10,SUCCESS
certificate_uniqueness,20,11,SUCCESS
certificate_uniqueness,20,12,SUCCESS
certificate_uniqueness,20,13,SUCCESS
certificate_uniqueness,20,14,SUCCESS
certificate_uniqueness,20,15,SUCCESS
certificate_uniqueness,20,16,SUCCESS
certificate_uniqueness,20,17,SUCCESS
certificate_uniqueness,20,18,SUCCESS
certificate_uniqueness,20,19,SUCCESS
certificate_uniqueness,20,20,SUCCESS
certificate_uniqueness,20,21,SUCCESS
certificate_uniqueness,20,22,SUCCESS
certificate_uniqueness,20,23,SUCCESS
certificate_uniqueness,20,24,SUCCESS
certificate_uniqueness,20,25,SUCCESS
certificate_uniqueness,20,26,SUCCESS
certificate_uniqueness,20,27,SUCCESS
certificate_uniqueness,20,28,SUCCESS
certificate_uniqueness,20,29,SUCCESS
certificate_uniqueness,20,30,SUCCESS
